t,vx,vy,vz,omega
1.721951453685760498e+02,8.094767429333687980e-02,4.735236800046870725e-02,-1.170693267737029086e-01,0.000000000000000000e+00
1.722433083057403564e+02,7.790215775170893087e-02,4.138624866042164840e-02,-1.213195459909309493e-01,0.000000000000000000e+00
1.722879700660705566e+02,7.745097705806641697e-02,4.092853220721347912e-02,-1.217628900942892139e-01,0.000000000000000000e+00
1.723311791419982910e+02,7.998063632978165416e-02,3.056639164905108549e-02,-1.231616560210199024e-01,0.000000000000000000e+00
1.723751935958862305e+02,7.955243278011664421e-02,3.016323003750390544e-02,-1.235378079474847984e-01,0.000000000000000000e+00
1.724182467460632324e+02,7.962744122139467362e-02,2.080049783800020161e-02,-1.254065783530699807e-01,0.000000000000000000e+00
1.724610793590545654e+02,7.947740029831387720e-02,2.063477286547022241e-02,-1.255290762756264000e-01,0.000000000000000000e+00
1.725074813365936279e+02,5.641924522925226976e-02,-1.307079668075603746e-02,-1.383691549511372465e-01,0.000000000000000000e+00
1.725509717464447021e+02,6.616722928694732109e-02,9.266078499261407031e-03,-1.342983155431745068e-01,0.000000000000000000e+00
1.726310331821441650e+02,6.615642631478708957e-02,9.272145560192866787e-03,-1.343032187773872677e-01,0.000000000000000000e+00
1.726976518630981445e+02,6.114876355635542882e-02,1.834347279802242038e-04,-1.369700517165322040e-01,0.000000000000000000e+00
1.727810564041137695e+02,6.271396081632187036e-02,6.652014655710784645e-03,-1.360981624407510138e-01,0.000000000000000000e+00
1.728267064094543457e+02,6.375728494816954028e-02,-5.499609477814342701e-03,-1.356641548517125706e-01,0.000000000000000000e+00
1.728712525367736816e+02,1.168493821466612230e-02,-7.209275702235153072e-02,-1.310194512423083490e-01,0.000000000000000000e+00
1.729126753807067871e+02,3.002933091357451456e-02,-3.670292548490236562e-02,-1.423064810391035662e-01,0.000000000000000000e+00
1.729567911624908447e+02,2.057592042376261282e-02,-7.185075350033125197e-02,-1.300542222311510676e-01,0.000000000000000000e+00
1.730009794235229492e+02,-3.023024996565358904e-02,-1.439307586700828423e-01,-2.949692688515992076e-02,0.000000000000000000e+00
1.730427050590515137e+02,1.522069380159595323e-02,-8.306567131383969793e-02,-1.239694507908267185e-01,0.000000000000000000e+00
1.730859096050262451e+02,1.508474652416466784e-02,-8.310600126820302802e-02,-1.239590374902577868e-01,0.000000000000000000e+00
1.731275320053100586e+02,1.439250894458587136e-02,-8.182609920275396576e-02,-1.248893317122846958e-01,0.000000000000000000e+00
1.731702351570129395e+02,1.435682275037924137e-02,-8.183688957203409664e-02,-1.248863689346795397e-01,0.000000000000000000e+00
1.732165234088897705e+02,9.526671112483137832e-03,-7.930771333435236714e-02,-1.269627076869060955e-01,0.000000000000000000e+00
1.732617769241333008e+02,9.772619764302888090e-03,-7.923497933837489460e-02,-1.269894245683066969e-01,0.000000000000000000e+00
1.733099794387817383e+02,-2.670447845596439496e-02,-1.449781879155918329e-01,-2.771634642420024719e-02,0.000000000000000000e+00
1.733549842834472656e+02,1.266823219078279904e-02,-8.213130794983139471e-02,-1.248757948827969450e-01,0.000000000000000000e+00
1.733999791145324707e+02,1.259431643601476199e-02,-8.215845984758865517e-02,-1.248654102182893966e-01,0.000000000000000000e+00
1.734487180709838867e+02,-7.297077933533116598e-04,-8.167412142321923973e-02,-1.258125805167414901e-01,0.000000000000000000e+00
1.734941720962524414e+02,-8.076653455408394850e-04,-8.169661352573341639e-02,-1.257975000352414274e-01,0.000000000000000000e+00
1.735379092693328857e+02,-3.358526315682325899e-03,-8.671161305228566873e-02,-1.223512013135038407e-01,0.000000000000000000e+00
1.735819942951202393e+02,-3.380352039583230453e-03,-8.671930206503927763e-02,-1.223451505759053787e-01,0.000000000000000000e+00
1.736266369819641113e+02,-4.068772580185156008e-03,-8.291281824269881862e-02,-1.249356220649015525e-01,0.000000000000000000e+00
