t,x,y,z,yaw
3.318483815193176270e+02,2.109532833099365234e+00,-3.827930927276611328e+00,2.467573285102844238e-01,-1.462166256407863157e-02
3.318586287498474121e+02,2.109532833099365234e+00,-3.827930927276611328e+00,2.467573285102844238e-01,-1.462166256407863157e-02
3.318689019680023193e+02,2.109532833099365234e+00,-3.827930927276611328e+00,2.467573285102844238e-01,-1.462166256407863157e-02
3.318786258697509766e+02,2.109532833099365234e+00,-3.827930927276611328e+00,2.467573285102844238e-01,-1.462166256407863157e-02
3.318892114162445068e+02,2.109532833099365234e+00,-3.827930927276611328e+00,2.467573285102844238e-01,-1.462166256407863157e-02
3.318986349105834961e+02,2.109532833099365234e+00,-3.827930927276611328e+00,2.467573285102844238e-01,-1.462166256407863157e-02
3.319086272716522217e+02,2.109532833099365234e+00,-3.827930927276611328e+00,2.467573285102844238e-01,-1.462166256407863157e-02
3.319212403297424316e+02,2.109532833099365234e+00,-3.827930927276611328e+00,2.467573285102844238e-01,-1.462166256407863157e-02
3.319295234680175781e+02,2.109532833099365234e+00,-3.827930927276611328e+00,2.467573285102844238e-01,-1.462166256407863157e-02
3.319388489723205566e+02,2.115705966949462891e+00,-3.830477237701416016e+00,2.491326481103897095e-01,-1.809283401096900903e-02
3.319487564563751221e+02,2.115705966949462891e+00,-3.830477237701416016e+00,2.491326481103897095e-01,-1.809283401096900903e-02
3.319587917327880859e+02,2.115705966949462891e+00,-3.830477237701416016e+00,2.491326481103897095e-01,-1.809283401096900903e-02
3.319687771797180176e+02,2.115705966949462891e+00,-3.830477237701416016e+00,2.491326481103897095e-01,-1.809283401096900903e-02
3.319781131744384766e+02,2.115705966949462891e+00,-3.830477237701416016e+00,2.491326481103897095e-01,-1.809283401096900903e-02
3.319903264045715332e+02,2.115705966949462891e+00,-3.830477237701416016e+00,2.491326481103897095e-01,-1.809283401096900903e-02
3.319987661838531494e+02,2.115705966949462891e+00,-3.830477237701416016e+00,2.491326481103897095e-01,-1.809283401096900903e-02
3.320093998908996582e+02,2.115705966949462891e+00,-3.830477237701416016e+00,2.491326481103897095e-01,-1.809283401096900903e-02
3.320199699401855469e+02,2.115705966949462891e+00,-3.830477237701416016e+00,2.491326481103897095e-01,-1.809283401096900903e-02
3.320294713973999023e+02,2.115705966949462891e+00,-3.830477237701416016e+00,2.491326481103897095e-01,-1.809283401096900903e-02
3.320383000373840332e+02,2.121025800704956055e+00,-3.832202911376953125e+00,2.581928372383117676e-01,-2.147785531748723845e-02
3.320492284297943115e+02,2.121025800704956055e+00,-3.832202911376953125e+00,2.581928372383117676e-01,-2.147785531748723845e-02
3.320583562850952148e+02,2.121025800704956055e+00,-3.832202911376953125e+00,2.581928372383117676e-01,-2.147785531748723845e-02
3.320698821544647217e+02,2.121025800704956055e+00,-3.832202911376953125e+00,2.581928372383117676e-01,-2.147785531748723845e-02
3.320785903930664062e+02,2.121025800704956055e+00,-3.832202911376953125e+00,2.581928372383117676e-01,-2.147785531748723845e-02
3.320901787281036377e+02,2.121025800704956055e+00,-3.832202911376953125e+00,2.581928372383117676e-01,-2.147785531748723845e-02
3.320984342098236084e+02,2.121025800704956055e+00,-3.832202911376953125e+00,2.581928372383117676e-01,-2.147785531748723845e-02
3.321089305877685547e+02,2.121025800704956055e+00,-3.832202911376953125e+00,2.581928372383117676e-01,-2.147785531748723845e-02
3.321196851730346680e+02,2.121025800704956055e+00,-3.832202911376953125e+00,2.581928372383117676e-01,-2.147785531748723845e-02
3.321288499832153320e+02,2.121025800704956055e+00,-3.832202911376953125e+00,2.581928372383117676e-01,-2.147785531748723845e-02
3.321384763717651367e+02,2.126049041748046875e+00,-3.835611104965209961e+00,2.675943672657012939e-01,-2.460634971259817450e-02
3.321484646797180176e+02,2.126049041748046875e+00,-3.835611104965209961e+00,2.675943672657012939e-01,-2.460634971259817450e-02
3.321586616039276123e+02,2.126049041748046875e+00,-3.835611104965209961e+00,2.675943672657012939e-01,-2.460634971259817450e-02
3.321702878475189209e+02,2.126049041748046875e+00,-3.835611104965209961e+00,2.675943672657012939e-01,-2.460634971259817450e-02
3.321789205074310303e+02,2.126049041748046875e+00,-3.835611104965209961e+00,2.675943672657012939e-01,-2.460634971259817450e-02
3.321890525817871094e+02,2.126049041748046875e+00,-3.835611104965209961e+00,2.675943672657012939e-01,-2.460634971259817450e-02
3.321985678672790527e+02,2.126049041748046875e+00,-3.835611104965209961e+00,2.675943672657012939e-01,-2.460634971259817450e-02
3.322093007564544678e+02,2.126049041748046875e+00,-3.835611104965209961e+00,2.675943672657012939e-01,-2.460634971259817450e-02
3.322202484607696533e+02,2.126049041748046875e+00,-3.835611104965209961e+00,2.675943672657012939e-01,-2.460634971259817450e-02
3.322290179729461670e+02,2.126049041748046875e+00,-3.835611104965209961e+00,2.675943672657012939e-01,-2.460634971259817450e-02
3.322378156185150146e+02,2.130626440048217773e+00,-3.840622901916503906e+00,2.773892879486083984e-01,-2.745661867520150443e-02
3.322488660812377930e+02,2.130626440048217773e+00,-3.840622901916503906e+00,2.773892879486083984e-01,-2.745661867520150443e-02
3.322590477466583252e+02,2.130626440048217773e+00,-3.840622901916503906e+00,2.773892879486083984e-01,-2.745661867520150443e-02
3.322695839405059814e+02,2.130626440048217773e+00,-3.840622901916503906e+00,2.773892879486083984e-01,-2.745661867520150443e-02
3.322784750461578369e+02,2.130626440048217773e+00,-3.840622901916503906e+00,2.773892879486083984e-01,-2.745661867520150443e-02
3.322894599437713623e+02,2.130626440048217773e+00,-3.840622901916503906e+00,2.773892879486083984e-01,-2.745661867520150443e-02
3.322992458343505859e+02,2.130626440048217773e+00,-3.840622901916503906e+00,2.773892879486083984e-01,-2.745661867520150443e-02
3.323089077472686768e+02,2.130626440048217773e+00,-3.840622901916503906e+00,2.773892879486083984e-01,-2.745661867520150443e-02
3.323201098442077637e+02,2.130626440048217773e+00,-3.840622901916503906e+00,2.773892879486083984e-01,-2.745661867520150443e-02
3.323287966251373291e+02,2.130626440048217773e+00,-3.840622901916503906e+00,2.773892879486083984e-01,-2.745661867520150443e-02
3.323394181728363037e+02,2.135679244995117188e+00,-3.844795227050781250e+00,2.895646393299102783e-01,-2.866314092052128087e-02
3.323483462333679199e+02,2.135679244995117188e+00,-3.844795227050781250e+00,2.895646393299102783e-01,-2.866314092052128087e-02
3.323583621978759766e+02,2.135679244995117188e+00,-3.844795227050781250e+00,2.895646393299102783e-01,-2.866314092052128087e-02
3.323699746131896973e+02,2.135679244995117188e+00,-3.844795227050781250e+00,2.895646393299102783e-01,-2.866314092052128087e-02
3.323793668746948242e+02,2.135679244995117188e+00,-3.844795227050781250e+00,2.895646393299102783e-01,-2.866314092052128087e-02
3.323889355659484863e+02,2.135679244995117188e+00,-3.844795227050781250e+00,2.895646393299102783e-01,-2.866314092052128087e-02
3.323983747959136963e+02,2.135679244995117188e+00,-3.844795227050781250e+00,2.895646393299102783e-01,-2.866314092052128087e-02
3.324089696407318115e+02,2.135679244995117188e+00,-3.844795227050781250e+00,2.895646393299102783e-01,-2.866314092052128087e-02
3.324204812049865723e+02,2.135679244995117188e+00,-3.844795227050781250e+00,2.895646393299102783e-01,-2.866314092052128087e-02
3.324289188385009766e+02,2.135679244995117188e+00,-3.844795227050781250e+00,2.895646393299102783e-01,-2.866314092052128087e-02
